Date;Pression Corrigée (bar);Hauteur Corrigée (m)
16/03/2021 12:26;0.17068123696333334;1.69165765453518
16/03/2021 12:26;0.17068123692;1.691657654105694
16/03/2021 12:26;0.17068123687666667;1.6916576536762082
16/03/2021 12:26;0.17068123683333333;1.6916576532467227
16/03/2021 12:26;0.17068123679000002;1.6916576528172371
16/03/2021 12:26;0.1706812367466667;1.6916576523877511
16/03/2021 12:26;0.17068123670333335;1.6916576519582651
16/03/2021 12:26;0.17068123666;1.6916576515287791
16/03/2021 12:26;0.17068123661666668;1.6916576510992936
16/03/2021 12:26;0.17068123657333334;1.6916576506698078
16/03/2021 12:26;0.17169125348;1.7016681407609926
16/03/2021 12:26;0.17270127048666667;1.7116786318432982
16/03/2021 12:26;0.17270127044333336;1.7116786314138126
16/03/2021 12:26;0.17270127040000002;1.711678630984327
16/03/2021 12:26;0.1727012703566667;1.711678630554841
16/03/2021 12:26;0.17169125326333334;1.7016681386135637
16/03/2021 12:26;0.17169125322;1.7016681381840777
16/03/2021 12:26;0.17169125317666667;1.7016681377545921
16/03/2021 12:26;0.17169125313333333;1.7016681373251064
16/03/2021 12:26;0.17169125309;1.7016681368956204
16/03/2021 12:26;0.1716912530466667;1.7016681364661348
16/03/2021 12:26;0.17169125300333335;1.7016681360366488
16/03/2021 12:26;0.17270127001000002;1.7116786271189548
16/03/2021 12:26;0.17371128711666667;1.7216891191923818
16/03/2021 12:26;0.17371128707333333;1.7216891187628958
16/03/2021 12:26;0.17371128703;1.7216891183334098
16/03/2021 12:26;0.17371128698666666;1.7216891179039242
16/03/2021 12:26;0.17371128694333332;1.7216891174744384
16/03/2021 12:26;0.1737112869;1.7216891170449529
16/03/2021 12:26;0.17371128685666667;1.7216891166154669
16/03/2021 12:26;0.17371128681333334;1.7216891161859813
16/03/2021 12:26;0.17371128677;1.7216891157564953
16/03/2021 12:26;0.17371128672666666;1.7216891153270093
16/03/2021 12:26;0.17371128668333333;1.7216891148975235
16/03/2021 12:26;0.17371128664;1.721689114468038
16/03/2021 12:26;0.1727012694466667;1.7116786215356399
16/03/2021 12:26;0.17270126940333336;1.7116786211061539
16/03/2021 12:26;0.17270126936000002;1.7116786206766679
16/03/2021 12:26;0.17270126931666668;1.7116786202471823
16/03/2021 12:26;0.17270126927333335;1.7116786198176965
16/03/2021 12:26;0.17371128638;1.721689111891123
16/03/2021 12:26;0.17371128633666666;1.7216891114616375
16/03/2021 12:26;0.17371128629333332;1.7216891110321515
16/03/2021 12:26;0.17371128625;1.721689110602666
16/03/2021 12:26;0.17371128620666668;1.72168911017318
16/03/2021 12:26;0.17371128616333334;1.7216891097436944
16/03/2021 12:26;0.17371128612;1.7216891093142086
16/03/2021 12:26;0.17371128607666667;1.7216891088847226
16/03/2021 12:26;0.17371128603333333;1.721689108455237
16/03/2021 12:26;0.17270126884;1.7116786155228385
16/03/2021 12:26;0.17270126879666667;1.7116786150933527
16/03/2021 12:26;0.17169125170333335;1.7016681231520756
16/03/2021 12:26;0.17169125166000002;1.7016681227225896
16/03/2021 12:26;0.17169125161666668;1.7016681222931038
16/03/2021 12:26;0.17270126862333335;1.7116786133754096
16/03/2021 12:26;0.17270126858;1.7116786129459238
16/03/2021 12:26;0.17270126853666667;1.7116786125164383
16/03/2021 12:26;0.17270126849333334;1.7116786120869523
16/03/2021 12:26;0.1716912514;1.701668120145675
16/03/2021 12:26;0.17169125135666669;1.7016681197161891
16/03/2021 12:26;0.17169125131333335;1.7016681192867034
16/03/2021 12:26;0.17169125127;1.7016681188572174
16/03/2021 12:26;0.17270126827666668;1.7116786099395234
16/03/2021 12:26;0.17270126823333334;1.7116786095100378
16/03/2021 12:26;0.17270126819;1.7116786090805518
16/03/2021 12:26;0.17270126814666667;1.7116786086510658
16/03/2021 12:26;0.17270126810333336;1.7116786082215802
16/03/2021 12:26;0.17270126806000002;1.7116786077920947
16/03/2021 12:26;0.1727012680166667;1.711678607362609
16/03/2021 12:26;0.17371128512333334;1.7216890994360354
16/03/2021 12:26;0.17371128508;1.7216890990065499
16/03/2021 12:26;0.17270126788666668;1.7116786060741513
16/03/2021 12:26;0.17270126784333334;1.7116786056446653
16/03/2021 12:26;0.1727012678;1.7116786052151796
16/03/2021 12:26;0.1727012677566667;1.711678604785694
16/03/2021 12:26;0.17270126771333336;1.7116786043562084
16/03/2021 12:26;0.17371128482;1.721689096429635
16/03/2021 12:26;0.17371128477666667;1.721689096000149
16/03/2021 12:26;0.17270126758333335;1.7116786030677509
16/03/2021 12:26;0.17169125049;1.7016681111264735
16/03/2021 12:26;0.17169125044666667;1.7016681106969875
16/03/2021 12:26;0.17068123345333333;1.6916576197468312
16/03/2021 12:26;0.17068123341000002;1.6916576193173456
16/03/2021 12:26;0.16967121651666667;1.6816471293583102
16/03/2021 12:26;0.16967121647333333;1.6816471289288244
16/03/2021 12:26;0.17068123328;1.6916576180288883
16/03/2021 12:26;0.17169125018666667;1.7016681081200726
16/03/2021 12:26;0.17169125014333333;1.701668107690587
16/03/2021 12:26;0.1716912501;1.7016681072611013
16/03/2021 12:26;0.17169125005666666;1.7016681068316153
16/03/2021 12:26;0.17068123306333335;1.6916576158814594
16/03/2021 12:26;0.17068123302000002;1.6916576154519734
16/03/2021 12:26;0.17068123297666668;1.6916576150224878
16/03/2021 12:26;0.17068123293333334;1.6916576145930018
16/03/2021 12:26;0.17068123289;1.691657614163516
16/03/2021 12:26;0.17068123284666667;1.6916576137340302
16/03/2021 12:26;0.17068123280333333;1.6916576133045444
